,name,fulName,id,total_count,error_total,iac_count,error_iac,iacPercent,error_percent,isCriteria2Met
1384,operations-dumps-html-deploy,wikimedia/operations-dumps-html-deploy,34124231,0,0,0,0,0.0,1,0
1385,operations-dumps-html,wikimedia/operations-dumps-html,34124201,10,0,0,0,0.0,0,0
1386,mediawiki-extensions-ShoutWikiAPI,wikimedia/mediawiki-extensions-ShoutWikiAPI,34080016,13,0,0,0,0.0,0,0
1387,mediawiki-extensions-SpamDiffTool,wikimedia/mediawiki-extensions-SpamDiffTool,34079967,135,0,0,0,0.0,0,0
1388,mediawiki-extensions-ImportFreeImages,wikimedia/mediawiki-extensions-ImportFreeImages,34079867,134,0,0,0,0.0,0,0
1389,operations-debs-jetty-runner,wikimedia/operations-debs-jetty-runner,33959766,1,0,0,0,0.0,0,0
1390,operations-debs-contenttranslation-apertium-tat,wikimedia/operations-debs-contenttranslation-apertium-tat,33937797,76,0,0,0,0.0,0,0
1391,operations-debs-contenttranslation-apertium-kaz,wikimedia/operations-debs-contenttranslation-apertium-kaz,33937794,163,0,0,0,0.0,0,0
1392,operations-debs-contenttranslation-apertium-eus,wikimedia/operations-debs-contenttranslation-apertium-eus,33937787,24,0,0,0,0.0,0,0
1393,operations-debs-contenttranslation-apertium-pt-gl,wikimedia/operations-debs-contenttranslation-apertium-pt-gl,33937784,31,0,0,0,0.0,0,0
1394,operations-debs-contenttranslation-apertium-oc-es,wikimedia/operations-debs-contenttranslation-apertium-oc-es,33937781,43,0,0,0,0.0,0,0
1395,operations-debs-contenttranslation-apertium-oc-ca,wikimedia/operations-debs-contenttranslation-apertium-oc-ca,33937779,51,0,0,0,0.0,0,0
1396,operations-debs-contenttranslation-apertium-kaz-tat,wikimedia/operations-debs-contenttranslation-apertium-kaz-tat,33937773,98,0,0,0,0.0,0,0
1397,operations-debs-contenttranslation-apertium-eu-es,wikimedia/operations-debs-contenttranslation-apertium-eu-es,33935371,27,0,0,0,0.0,0,0
1398,operations-debs-contenttranslation-apertium-eu-en,wikimedia/operations-debs-contenttranslation-apertium-eu-en,33935368,34,0,0,0,0.0,0,0
1399,operations-debs-contenttranslation-apertium-es-gl,wikimedia/operations-debs-contenttranslation-apertium-es-gl,33935363,33,0,0,0,0.0,0,0
1400,operations-debs-contenttranslation-apertium-es-ast,wikimedia/operations-debs-contenttranslation-apertium-es-ast,33935358,48,0,0,0,0.0,0,0
1401,operations-debs-contenttranslation-apertium-es-an,wikimedia/operations-debs-contenttranslation-apertium-es-an,33935350,34,0,0,0,0.0,0,0
1402,operations-debs-contenttranslation-apertium-en-gl,wikimedia/operations-debs-contenttranslation-apertium-en-gl,33935302,37,0,0,0,0.0,0,0
1403,wikimedia-fundraising-dash-src-bower_modules,wikimedia/wikimedia-fundraising-dash-src-bower_modules,33933313,1234,0,0,0,0.0,0,0
1404,wikimedia-fundraising-crm-drupal,wikimedia/wikimedia-fundraising-crm-drupal,33933303,1149,0,0,0,0.0,0,0
1405,wikimedia-fundraising-crm-civicrm,wikimedia/wikimedia-fundraising-crm-civicrm,33933286,14565,0,0,0,0.0,0,0
1406,operations-debs-nodepool,wikimedia/operations-debs-nodepool,33893433,55,0,0,0,0.0,0,0
1407,operations-software-brrd,wikimedia/operations-software-brrd,33884685,13,0,0,0,0.0,0,0
1408,sink_nova_ldap,wikimedia/sink_nova_ldap,33645326,8,0,0,0,0.0,0,0
1409,labs-tools-ptable,wikimedia/labs-tools-ptable,33568043,23,0,0,0,0.0,0,0
1410,operations-software-tools-manifest,wikimedia/operations-software-tools-manifest,33504447,17,0,0,0,0.0,0,0
1411,restbase-ansible-deploy,wikimedia/restbase-ansible-deploy,33340116,32,0,0,0,0.0,0,0
1412,operations-software-blazegraph,wikimedia/operations-software-blazegraph,33245041,3,0,0,0,0.0,0,0
1413,mediawiki-extensions-SafeDelete,wikimedia/mediawiki-extensions-SafeDelete,33242893,66,0,0,0,0.0,0,0
1414,mediawiki-extensions-RawImageHandler,wikimedia/mediawiki-extensions-RawImageHandler,33242822,1,0,0,0,0.0,0,0
1415,mediawiki-extensions-WikidataPageBanner,wikimedia/mediawiki-extensions-WikidataPageBanner,33090911,81,0,0,0,0.0,0,0
1416,ifttt,wikimedia/ifttt,33005310,19,0,0,0,0.0,0,0
1417,sink_nova_fixed_multi,wikimedia/sink_nova_fixed_multi,32937205,8,0,0,0,0.0,0,0
1418,operations-software-sentry,wikimedia/operations-software-sentry,32795295,6483,0,0,0,0.0,0,0
1419,wikilabels,wikimedia/wikilabels,32609874,225,0,0,0,0.0,0,0
1420,wikidata-query-rdf,wikimedia/wikidata-query-rdf,32607095,744,0,0,0,0.0,0,0
1421,mediawiki-services-mobileapps-deploy,wikimedia/mediawiki-services-mobileapps-deploy,32450366,2,0,0,0,0.0,0,0
1422,mobileapps,wikimedia/mobileapps,32450357,604,0,0,0,0.0,0,0
1423,mediawiki-extensions-MadLib,wikimedia/mediawiki-extensions-MadLib,32209199,36,0,0,0,0.0,0,0
1424,mediawiki-extensions-LastUserLogin,wikimedia/mediawiki-extensions-LastUserLogin,32209097,109,0,0,0,0.0,0,0
1425,operations-debs-contenttranslation-apertium-dan-nor,wikimedia/operations-debs-contenttranslation-apertium-dan-nor,32012585,136,0,0,0,0.0,0,0
1426,operations-debs-contenttranslation-apertium-dan,wikimedia/operations-debs-contenttranslation-apertium-dan,32012578,28,0,0,0,0.0,0,0
1427,jquery-client,wikimedia/jquery-client,31976762,15,0,0,0,0.0,0,0
1428,mediawiki-extensions-MsCalendar,wikimedia/mediawiki-extensions-MsCalendar,31975401,83,0,0,0,0.0,0,0
1429,operations-debs-contenttranslation-apertium-af-nl,wikimedia/operations-debs-contenttranslation-apertium-af-nl,31973895,62,0,0,0,0.0,0,0
1430,operations-debs-contenttranslation-apertium-af-nk,wikimedia/operations-debs-contenttranslation-apertium-af-nk,31951687,0,0,0,0,0.0,1,0
1431,ve-dirtydiffbot,wikimedia/ve-dirtydiffbot,31934301,0,0,0,0,0.0,1,0
1432,mediawiki-services-zotero,wikimedia/mediawiki-services-zotero,31716369,60,0,0,0,0.0,0,0
1433,mediawiki-services-zotero-translators,wikimedia/mediawiki-services-zotero-translators,31716102,535,0,0,0,0.0,0,0
1434,mediawiki-services-zotero-translation-server,wikimedia/mediawiki-services-zotero-translation-server,31715549,44,0,0,0,0.0,0,0
1435,zotero,wikimedia/zotero,31715452,0,0,0,0,0.0,1,0
1436,operations-software-dbtree,wikimedia/operations-software-dbtree,31391904,8,0,0,0,0.0,0,0
1437,operations-debs-statsite,wikimedia/operations-debs-statsite,31367556,94,0,0,0,0.0,0,0
1438,operations-debs-contenttranslation-apertium-mk,wikimedia/operations-debs-contenttranslation-apertium-mk,31255381,22,0,0,0,0.0,0,0
1439,operations-debs-contenttranslation-apertium-hbs,wikimedia/operations-debs-contenttranslation-apertium-hbs,31255378,34,0,0,0,0.0,0,0
1440,operations-debs-contenttranslation-apertium-mk-bg,wikimedia/operations-debs-contenttranslation-apertium-mk-bg,31255373,47,0,0,0,0.0,0,0
1441,operations-debs-contenttranslation-apertium-hbs-slv,wikimedia/operations-debs-contenttranslation-apertium-hbs-slv,31255367,42,0,0,0,0.0,0,0
1442,operations-debs-contenttranslation-apertium-hbs-mkd,wikimedia/operations-debs-contenttranslation-apertium-hbs-mkd,31255359,34,0,0,0,0.0,0,0
1443,operations-debs-contenttranslation-apertium-hbs-eng,wikimedia/operations-debs-contenttranslation-apertium-hbs-eng,31255352,26,0,0,0,0.0,0,0
1444,labs-tools-faces,wikimedia/labs-tools-faces,31139040,0,0,0,0,0.0,1,0
1445,utfnormal,wikimedia/utfnormal,31059570,36,0,0,0,0.0,0,0
1446,pywikiapi,wikimedia/pywikiapi,31038060,0,0,0,0,0.0,1,0
1447,operations-software-dropwizard-metrics,wikimedia/operations-software-dropwizard-metrics,31011174,5,0,0,0,0.0,0,0
1448,mediawiki-services-service-template-node,wikimedia/mediawiki-services-service-template-node,30962481,6,0,0,0,0.0,0,0
1449,mediawiki-services-service-runner,wikimedia/mediawiki-services-service-runner,30962362,10,0,0,0,0.0,0,0
1450,service-template-node,wikimedia/service-template-node,30872453,36,0,0,0,0.0,0,0
1451,mediawiki-extensions-LinkSuggest2,wikimedia/mediawiki-extensions-LinkSuggest2,30844352,75,0,0,0,0.0,0,0
1452,mediawiki-extensions-Favorites,wikimedia/mediawiki-extensions-Favorites,30844093,30,0,0,0,0.0,0,0
1453,service-runner,wikimedia/service-runner,30805535,32,0,0,0,0.0,0,0
1454,wmf-utils,wikimedia/wmf-utils,30655113,6,0,0,0,0.0,0,0
1455,wikimedia-education-WikiEduDashboard,wikimedia/wikimedia-education-WikiEduDashboard,30567972,234,0,0,0,0.0,0,0
1456,wikimedia-education,wikimedia/wikimedia-education,30567931,0,0,0,0,0.0,1,0
1457,labs-tools-phabricator-bug-status,wikimedia/labs-tools-phabricator-bug-status,30567631,7,0,0,0,0.0,0,0
