number,name,fullname,id,fileCount,iacCount,iacPercentage,isCriteria2Met
192,fuelweb-test,Mirantis/fuelweb-test,10215363,75,0,0,0
193,nova-scheduler-volume-affinity-filter,Mirantis/nova-scheduler-volume-affinity-filter,9769781,11,0,0,0
194,murano-tests,Mirantis/murano-tests,9316429,33,0,0,0
195,devops,Mirantis/devops,9008928,1,0,0,0
196,astute,Mirantis/astute,8802017,1,0,0,0
197,fuel,Mirantis/fuel,8776953,1,0,0,0
198,openstack-lbaas-horizon,Mirantis/openstack-lbaas-horizon,8724592,1,0,0,0
199,puppetlabs-cinder,Mirantis/puppetlabs-cinder,7053651,0,0,0,0
200,swift-encrypt,Mirantis/swift-encrypt,6763026,300,0,0,0
201,nova,Mirantis/nova,5983847,0,0,0,0
202,openstack-horizon,Mirantis/openstack-horizon,5888932,0,0,0,0
203,openstack-lbaas-cli,Mirantis/openstack-lbaas-cli,5888922,33,0,0,0
204,puppetlabs-xinetd,Mirantis/puppetlabs-xinetd,5488233,0,0,0,0
205,puppetlabs-vcsrepo,Mirantis/puppetlabs-vcsrepo,5488231,0,0,0,0
206,puppetlabs-sysctl,Mirantis/puppetlabs-sysctl,5488229,0,0,0,0
207,puppetlabs-swift,Mirantis/puppetlabs-swift,5488224,0,0,0,0
208,puppetlabs-stdlib,Mirantis/puppetlabs-stdlib,5488220,0,0,0,0
209,puppet-ssh,Mirantis/puppet-ssh,5488217,0,0,0,0
210,puppetlabs-rsync,Mirantis/puppetlabs-rsync,5488212,0,0,0,0
211,puppetlabs-rabbitmq,Mirantis/puppetlabs-rabbitmq,5488204,0,0,0,0
212,puppetlabs-nova,Mirantis/puppetlabs-nova,5488203,0,0,0,0
213,puppetlabs-mysql,Mirantis/puppetlabs-mysql,5488200,0,0,0,0
214,puppet-mmm,Mirantis/puppet-mmm,5488198,0,0,0,0
215,puppet-memcached,Mirantis/puppet-memcached,5488197,0,0,0,0
216,puppetlabs-keystone,Mirantis/puppetlabs-keystone,5488192,0,0,0,0
217,puppet-module-keepalived,Mirantis/puppet-module-keepalived,5488189,0,0,0,0
218,puppetlabs-horizon,Mirantis/puppetlabs-horizon,5488184,0,0,0,0
219,puppet-haproxy,Mirantis/puppet-haproxy,5488178,0,0,0,0
220,puppetlabs-glance,Mirantis/puppetlabs-glance,5488174,0,0,0,0
221,puppetlabs-git,Mirantis/puppetlabs-git,5488169,0,0,0,0
222,puppet-galera,Mirantis/puppet-galera,5488163,0,0,0,0
223,puppet-concat,Mirantis/puppet-concat,5488158,0,0,0,0
224,puppetlabs-apt,Mirantis/puppetlabs-apt,5488140,0,0,0,0
225,puppetlabs-openstack,Mirantis/puppetlabs-openstack,5488133,0,0,0,0
226,openstack-lbaas,Mirantis/openstack-lbaas,4487684,127,0,0,0
227,fuelweb,Mirantis/fuelweb,4323544,2,0,0,0
228,tempest,Mirantis/tempest,3309678,0,0,0,0
229,osagent,Mirantis/osagent,3012933,17,0,0,0
230,cloudpipe-image-auto-creation,Mirantis/cloudpipe-image-auto-creation,2393951,4,0,0,0
231,keystone,Mirantis/keystone,2000690,0,0,0,0
232,openstack-dashboard,Mirantis/openstack-dashboard,1914920,272,0,0,0
233,openstack-utils,Mirantis/openstack-utils,1803856,1,0,0,0
234,gosa-openstack,Mirantis/gosa-openstack,1792289,4,0,0,0
235,openstack-fedora-specs,Mirantis/openstack-fedora-specs,1770561,53,0,0,0
