org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/client.pp,0,0,0,0,1,0,0,0,0,0,3,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/tpi/lab.pp,0,4,4,3,7,33,23,0,4,4,92,7,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/system/manifests/init.pp,0,4,5,6,11,40,27,1,4,4,115,16,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-foreman_proxy/manifests/plugin/chef/params.pp,1,0,0,0,0,0,2,0,0,0,12,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/ftp/server.pp,0,0,0,0,8,0,0,0,0,0,40,19,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/pmlc_nova/manifests/compute/service.pp,0,0,1,1,2,4,1,0,0,0,40,12,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/django/manifests/application.pp,0,4,2,6,11,40,11,0,4,4,132,28,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/racks/manifests/importer.pp,2,2,2,5,7,15,12,1,2,2,84,29,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/partnerappliance.pp,0,2,3,4,7,23,12,0,2,2,81,16,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/monitoring/mysql/server.pp,0,1,1,1,2,7,7,0,1,1,22,8,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/profiles/manifests/ssh/server.pp,0,0,0,0,0,2,1,0,0,0,28,13,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/radosgw-keystone.pp,0,0,0,0,1,0,0,0,0,0,1,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/deploy.pp,0,0,0,0,10,0,0,0,0,0,44,18,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/firewall.pp,0,0,2,1,6,17,14,0,0,0,64,14,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/ns.pp,0,5,7,5,12,37,36,2,4,4,114,14,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror_npm.pp,1,3,5,11,16,56,38,1,2,2,141,15,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/ssl_keys_saving.pp,0,0,0,0,1,0,0,0,0,0,2,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/swift/storage-node.pp,0,0,1,1,2,15,8,0,0,0,58,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/mirror_rubygems.pp,1,4,4,9,13,44,35,1,2,2,106,14,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/params.pp,0,0,0,0,0,0,12,0,0,0,23,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/configline.pp,0,0,1,0,2,9,2,0,0,0,32,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/pxetool/manifests/master.pp,1,6,6,11,17,95,59,2,6,6,229,26,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/common.pp,0,4,5,6,11,42,34,3,4,4,202,22,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/swarm_slave.pp,0,3,3,8,11,33,20,0,2,2,108,16,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-concat/manifests/setup.pp,0,1,0,2,2,13,5,0,2,2,49,14,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/tpi/manifests/vmware_lab.pp,0,1,6,5,11,40,25,1,1,1,109,10,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/apps/partnershare.pp,0,1,2,3,5,28,23,1,1,2,81,12,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/ldap.pp,0,4,0,6,9,23,20,0,3,3,90,14,1
